id,name,type,level,level_codes,city,state,zip_code,district,latitude,longitude,rating,rating_year,distance
3404205,Colonial Road School,public,"PK,KG,1,2,3,4,5,UG","p,e",Franklin Lakes,NJ,07417,Franklin Lakes School District,41.013653,-74.222977,8,2021.0,29.31353225545876
3614177,New York City Montessori Charter School,charter,"PK,KG,1,2,3,4,5,UG","p,e",BRONX,NY,10454,New York City Montessori Charter School,40.808926,-73.921844,5,2020.0,29.315861160475727
3604635,St Lukes School,private,"PK,KG,1,2,3,4,5,6,7,8","p,e,m",Queens,NY,11357,,40.786327,-73.811211,,,29.31688518274572
3602434,PS 129 Patricia Larkin,public,"KG,1,2,3,4,5,UG",e,COLLEGE POINT,NY,11356,New York City Geographic District #25,40.790188,-73.839729,7,2020.0,29.33257111610971
3613595,New Design Middle School,public,"6,7,8,UG",m,New York,NY,10027,New York City Geographic District # 5,40.819702,-73.956749,1,2020.0,29.338066536592642
3608324,KIPP Infinity Charter School,charter,"KG,1,2,3,4,5,6,7,8,9,10,11,12","e,m,h",New York,NY,10027,KIPP Infinity Charter School,40.819702,-73.956749,9,2020.0,29.338066536592642
3608774,Democracy Preparatory Charter School,charter,"6,7,8,9,10,11,12,UG","m,h",New York,NY,10037,Democracy Preparatory Charter School,40.813351,-73.937775,8,2020.0,29.3411193408478
3602616,PS 197 John B Russwurm,public,"PK,KG,1,2,3,4,5","p,e",New York,NY,10037,New York City Geographic District # 5,40.813351,-73.937775,1,2020.0,29.3411193408478
3602553,PS 169 Bay Terrace,public,"PK,KG,1,2,3,4,5","p,e",BAYSIDE,NY,11360,New York City Geographic District #25,40.78257,-73.778763,9,2020.0,29.34988504604372
3608982,Bell Academy,public,"6,7,8,UG",m,BAYSIDE,NY,11360,New York City Geographic District #25,40.78257,-73.778778,9,2020.0,29.349965824499485
3618359,Zeta Charter School - Bronx 1,charter,"KG,1",e,BRONX,NY,10454,Zeta Charter School - Bronx 1,40.809422,-73.925392,,,29.350688480992208
3606885,Thurgood Marshall Academy for Learning & Social Change,public,"6,7,8,9,10,11,12,UG","m,h",New York,NY,10030,New York City Geographic District # 5,40.815247,-73.944321,2,2020.0,29.35427939403731
3401743,Robert Erskine School,public,"KG,1,2,3,UG",e,Ringwood,NJ,07456,Ringwood School District,41.093288,-74.264793,,,29.35437508543875
3604445,St Luke School,private,"PK,KG,1,2,3,4,5,6,7,8","p,e,m",Bronx,NY,10454,,40.806339,-73.915161,,,29.360595026532614
3602533,PS 161 Pedro Albizu Campos,public,"KG,1,2,3,4,5,6,7,8,UG","e,m",New York,NY,10027,New York City Geographic District # 5,40.817757,-73.952469,5,2020.0,29.36755129431941
3609424,Winifred Wheeler Day Care Center,private,"PK,KG","p,e",Bronx,NY,10454,,40.809101,-73.925255,,,29.368762349783143
3602647,PS 209 Clearview Gardens,public,"PK,KG,1,2,3,4,5","p,e",WHITESTONE,NY,11357,New York City Geographic District #25,40.783764,-73.795296,8,2020.0,29.369916860327837
