enrollment,percent-reduced-lunch,percent-disadvantaged,percent-limited-english,average-salary,student-teacher-ratio,student-counselor-ratio,percentage-female,teachers-experience,percentage-certified,Universal_ID,Hispanic,White,African American,Asian,Native Hawaiian or Other Pacific Islander,Two or more races,Native American,Asian or Pacific Islander
610.0,15.081967,,2.90076,106564.62,11.79,,49.180327,6.403846,100.0,3601529,21.475409,70.655737,3.114754,,0.0,2.131147,0.0,2.62295
,96.3415,,,,,,,,,3607747,42.6829,2.43902,52.439,1.21951,0.0,1.21951,0.0,
160.0,,,,,,,94.375,,,3612900,0.0,82.3529,11.7647,5.88235,0.0,0.0,0.0,
419.0,,,,,,,50.5967,,,3605453,2.3195890721643706,94.84536206185516,1.546389381444247,0.7731956907217236,0.25773189690724124,0.25773189690724124,0.0,
309.0,,,,,,,100.0,,,3604336,6.472489741100411,78.96439684142413,8.090619676375214,0.9708739611650417,1.2944999482200021,4.2071198317152065,0.0,
227.0,,,,,,,63.4361,,,3604355,13.5,54.5,6.0,16.5,0.0,9.5,0.0,
220.0,,,,,,,51.3636,,,3604322,4.99999895000022,86.81818176818183,1.36363971363566,3.63635923636456,0.90909080909093,2.2727295227268,0.0,
1285.0,18.132295,,1.81564,84755.15,11.38,190.14,47.392996,9.401709,100.0,3601751,17.276264,64.280155,3.424124,,0.155642,1.322957,0.077821,13.463035
1594.0,60.664993,,8.15287,151555.11,16.43,272.67,49.937264,0.0,100.0,3604089,58.971141,21.95734,11.794228,,0.0,2.948557,0.0,4.328732
549.0,10.018214,,0.0,107267.61,9.7,135.75,47.540983,0.0,100.0,3601258,6.921675,70.491803,6.921675,,0.0,4.189435,0.546448,10.928961
424.0,8.018867,,0.0,112460.11,9.34,205.5,47.169811,0.0,100.0,3601259,10.141509,68.160377,4.481132,,0.0,6.367924,0.0,10.849056
1537.0,69.746258,,14.6101,104348.87,14.62,213.0,48.145738,14.705882,100.0,3603293,78.985035,14.638906,4.554326,,0.130123,0.260247,0.0,1.431359
634.0,34.700315,,4.18994,77168.86,9.45,208.0,49.684542,6.060606,96.969696,3603088,25.55205,44.321766,19.40063,,0.473186,3.943217,0.0,6.309148
435.0,62.988505,,26.3658,113851.41,13.79,,46.206896,17.241379,100.0,3603291,77.011494,16.321839,1.609195,,0.0,0.91954,0.0,4.137931
772.0,63.341968,,16.7575,127405.14,15.16,,48.186528,4.047763,100.0,3601106,70.725388,10.103626,15.932642,,0.0,1.554404,0.129533,1.554404
277.0,8.664259,,1.89394,107329.92,10.63,,45.848375,0.0,100.0,3601257,10.469314,67.509025,4.332129,,0.0,5.415162,0.0,12.274368
792.0,,,,,,,0.0,,,3604321,16.03539663256671,63.88888658333382,13.383797189402593,5.681818806818051,0.12626297348477558,0.8838378143940591,0.0,
75.0,,,,,,,29.3333,,,3605316,5.33332840000148,74.66667759999672,19.9999940000018,0.0,0.0,0.0,0.0,
